Id,UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
22107,1478720107,11/9/2016 12:00:00 AM,09:35:07,59,30.47,44,312.67,3.37,06:28:00,17:45:00
3780,1474063503,9/16/2016 12:00:00 AM,12:05:03,59,30.48,83,38.01,6.75,06:10:00,18:25:00
13651,1476109221,10/10/2016 12:00:00 AM,04:20:21,47,30.39,78,213.62,5.62,06:16:00,18:03:00
30473,1481475056,12/11/2016 12:00:00 AM,06:50:56,45,30.4,98,176.63,4.5,06:47:00,17:44:00
9084,1477493117,10/26/2016 12:00:00 AM,04:45:17,45,30.4,34,175.89,6.75,06:21:00,17:52:00
12469,1476469823,10/14/2016 12:00:00 AM,08:30:23,60,30.46,37,5.2,3.37,06:17:00,18:00:00
30320,1481520934,12/11/2016 12:00:00 AM,19:35:34,49,30.39,101,342.02,2.25,06:47:00,17:44:00
13664,1476105024,10/10/2016 12:00:00 AM,03:10:24,48,30.39,81,197.23,10.12,06:16:00,18:03:00
9538,1477356318,10/24/2016 12:00:00 AM,14:45:18,57,30.42,77,10.33,12.37,06:21:00,17:53:00
25467,1482979850,12/28/2016 12:00:00 AM,16:50:50,48,30.34,98,89.03,5.62,06:56:00,17:52:00
23744,1478228422,11/3/2016 12:00:00 AM,17:00:22,63,30.41,32,30.05,3.37,06:25:00,17:47:00
28806,1481976917,12/17/2016 12:00:00 AM,02:15:17,41,30.24,61,217.28,4.5,06:51:00,17:47:00
216,1475163921,9/29/2016 12:00:00 AM,05:45:21,46,30.41,58,184.89,10.12,06:13:00,18:13:00
16185,1475332822,10/1/2016 12:00:00 AM,04:40:22,51,30.43,100,126.01,4.5,06:13:00,18:11:00
24714,1483206901,12/31/2016 12:00:00 AM,07:55:01,43,30.31,86,262.51,5.62,06:57:00,17:54:00
8895,1477549818,10/26/2016 12:00:00 AM,20:30:18,49,30.44,99,124.06,12.37,06:21:00,17:52:00
22907,1478480105,11/6/2016 12:00:00 AM,14:55:05,65,30.44,61,80.59,6.75,06:26:00,17:46:00
29976,1481624105,12/13/2016 12:00:00 AM,00:15:05,43,30.32,99,261.91,6.75,06:48:00,17:45:00
5697,1473263122,9/7/2016 12:00:00 AM,05:45:22,44,30.41,58,157.51,5.62,06:08:00,18:33:00
2876,1474346403,9/19/2016 12:00:00 AM,18:40:03,57,30.41,45,136.7,0.0,06:11:00,18:22:00
4989,1473622220,9/11/2016 12:00:00 AM,09:30:20,59,30.5,58,14.74,3.37,06:09:00,18:29:00
4229,1473855610,9/14/2016 12:00:00 AM,02:20:10,49,30.4,96,182.79,6.75,06:10:00,18:26:00
29849,1481662201,12/13/2016 12:00:00 AM,10:50:01,50,30.33,87,308.44,12.37,06:48:00,17:45:00
15009,1475692219,10/5/2016 12:00:00 AM,08:30:19,55,30.47,100,45.46,6.75,06:14:00,18:08:00
21742,1478829606,11/10/2016 12:00:00 AM,16:00:06,57,30.44,87,24.32,5.62,06:28:00,17:45:00
30481,1481472666,12/11/2016 12:00:00 AM,06:11:06,45,30.39,98,177.6,4.5,06:47:00,17:44:00
13164,1476256823,10/11/2016 12:00:00 AM,21:20:23,51,30.48,72,169.62,6.75,06:16:00,18:03:00
5382,1473428422,9/9/2016 12:00:00 AM,03:40:22,44,30.36,101,156.87,3.37,06:09:00,18:31:00
6081,1473144919,9/5/2016 12:00:00 AM,20:55:19,49,30.43,66,143.94,3.37,06:08:00,18:35:00
9672,1477315817,10/24/2016 12:00:00 AM,03:30:17,48,30.4,54,137.14,7.87,06:21:00,17:53:00
3068,1474287604,9/19/2016 12:00:00 AM,02:20:04,48,30.42,49,176.53,6.75,06:11:00,18:22:00
30416,1481492155,12/11/2016 12:00:00 AM,11:35:55,54,30.41,98,303.75,6.75,06:47:00,17:44:00
25049,1483105502,12/30/2016 12:00:00 AM,03:45:02,41,30.28,83,180.69,4.5,06:57:00,17:54:00
3382,1474187402,9/17/2016 12:00:00 AM,22:30:02,52,30.49,83,169.03,7.87,06:10:00,18:24:00
13487,1476158719,10/10/2016 12:00:00 AM,18:05:19,56,30.4,59,138.6,2.25,06:16:00,18:03:00
4170,1473873607,9/14/2016 12:00:00 AM,07:20:07,50,30.41,84,169.66,0.0,06:10:00,18:26:00
30399,1481497266,12/11/2016 12:00:00 AM,13:01:06,53,30.38,100,327.63,13.5,06:47:00,17:44:00
21653,1478856304,11/10/2016 12:00:00 AM,23:25:04,48,30.49,34,169.55,3.37,06:28:00,17:45:00
25243,1483047301,12/29/2016 12:00:00 AM,11:35:01,48,30.35,101,359.81,4.5,06:56:00,17:53:00
2856,1474352707,9/19/2016 12:00:00 AM,20:25:07,54,30.43,41,147.13,5.62,06:11:00,18:22:00
26606,1482638139,12/24/2016 12:00:00 AM,17:55:39,53,30.43,31,127.46,3.37,06:54:00,17:50:00
17559,1480085706,11/25/2016 12:00:00 AM,04:55:06,46,30.45,99,130.03,13.5,06:37:00,17:42:00
32287,1480705801,12/2/2016 12:00:00 AM,09:10:01,45,30.41,93,196.17,13.5,06:42:00,17:42:00
12283,1476525623,10/15/2016 12:00:00 AM,00:00:23,52,30.5,23,164.96,5.62,06:17:00,17:59:00
5148,1473573628,9/10/2016 12:00:00 AM,20:00:28,50,30.42,92,164.63,4.5,06:09:00,18:30:00
32000,1480791935,12/3/2016 12:00:00 AM,09:05:35,45,30.34,93,34.2,4.5,06:42:00,17:43:00
6434,1473036604,9/4/2016 12:00:00 AM,14:50:04,58,30.44,101,15.43,5.62,06:08:00,18:35:00
9790,1477280117,10/23/2016 12:00:00 AM,17:35:17,51,30.39,87,41.35,3.37,06:20:00,17:54:00
21524,1478895005,11/11/2016 12:00:00 AM,10:10:05,62,30.52,26,26.62,9.0,06:29:00,17:44:00
29938,1481635510,12/13/2016 12:00:00 AM,03:25:10,43,30.28,74,257.59,12.37,06:48:00,17:45:00
4058,1473907205,9/14/2016 12:00:00 AM,16:40:05,56,30.4,99,12.07,3.37,06:10:00,18:26:00
18269,1479872102,11/22/2016 12:00:00 AM,17:35:02,44,30.42,99,72.97,3.37,06:35:00,17:42:00
31431,1480962933,12/5/2016 12:00:00 AM,08:35:33,45,30.36,93,249.72,5.62,06:44:00,17:43:00
20138,1479311105,11/16/2016 12:00:00 AM,05:45:05,50,30.44,20,155.03,12.37,06:32:00,17:43:00
9363,1477409118,10/25/2016 12:00:00 AM,05:25:18,47,30.44,59,188.65,11.25,06:21:00,17:52:00
9279,1477434318,10/25/2016 12:00:00 AM,12:25:18,64,30.46,63,3.08,2.25,06:21:00,17:52:00
31552,1480926339,12/4/2016 12:00:00 AM,22:25:39,45,30.35,93,100.56,3.37,06:43:00,17:43:00
23263,1478373319,11/5/2016 12:00:00 AM,09:15:19,59,30.51,38,41.48,9.0,06:26:00,17:46:00
20730,1479133201,11/14/2016 12:00:00 AM,04:20:01,44,30.44,32,165.56,5.62,06:31:00,17:43:00
14856,1475739020,10/5/2016 12:00:00 AM,21:30:20,51,30.49,98,114.55,4.5,06:14:00,18:08:00
7278,1472774106,9/1/2016 12:00:00 AM,13:55:06,62,30.43,61,46.48,6.75,06:07:00,18:38:00
21578,1478878805,11/11/2016 12:00:00 AM,05:40:05,46,30.46,42,177.04,6.75,06:29:00,17:44:00
10405,1477095017,10/21/2016 12:00:00 AM,14:10:17,54,30.4,88,115.97,2.25,06:19:00,17:55:00
16176,1475335523,10/1/2016 12:00:00 AM,05:25:23,50,30.44,101,143.08,6.75,06:13:00,18:11:00
30842,1481364051,12/10/2016 12:00:00 AM,00:00:51,49,30.4,95,303.88,5.62,06:47:00,17:44:00
26524,1482662795,12/25/2016 12:00:00 AM,00:46:35,46,30.46,33,151.47,7.87,06:55:00,17:51:00
14299,1475908523,10/7/2016 12:00:00 AM,20:35:23,52,30.44,101,73.68,0.0,06:15:00,18:06:00
29489,1481770805,12/14/2016 12:00:00 AM,17:00:05,50,30.26,93,308.85,10.12,06:49:00,17:46:00
21419,1478926502,11/11/2016 12:00:00 AM,18:55:02,54,30.48,58,153.45,2.25,06:29:00,17:44:00
5191,1473560422,9/10/2016 12:00:00 AM,16:20:22,55,30.36,95,40.64,6.75,06:09:00,18:30:00
19026,1479645020,11/20/2016 12:00:00 AM,02:30:20,49,30.42,102,130.21,12.37,06:34:00,17:42:00
4168,1473874207,9/14/2016 12:00:00 AM,07:30:07,53,30.42,81,169.67,0.0,06:10:00,18:26:00
26781,1482585650,12/24/2016 12:00:00 AM,03:20:50,46,30.45,47,168.13,7.87,06:54:00,17:50:00
23528,1478293518,11/4/2016 12:00:00 AM,11:05:18,64,30.46,29,126.11,2.25,06:25:00,17:47:00
24990,1483123202,12/30/2016 12:00:00 AM,08:40:02,44,30.32,62,192.13,7.87,06:57:00,17:54:00
